altermu, mu[1], 0.000237554708548784, 0.00025773699999966695
altermu, mu[3], 0.0008004499456703007, 0.0016724645694131124
altermu2, mu[1], 5.4683339597794145e-05, 0.0005135049507728473
radar_query1, b, 0.00024414061698152523, 4.445113432893777e-08
anova_radon_nopred, a[1], 0.0024350258480135833, 9.761422951726217e-05
anova_radon_nopred, sigma_y, 0.0009896002657340253, 0.000565802022355899
gammaTransform, X, 4.440892098500626e-16, 0.01596625048655742
unemployment, beta[1], 0.3253647121592316, 1.1620141327162159e-05
unemployment, beta[2], 0.027447837530673813, 4.690336988799615e-06
unemployment, sigma, 0.13414010135428267, 0.0004189291928632377
lightspeed, beta[1], 0.015013666285142335, 0.003206835216591486
lightspeed, sigma, 0.019890558101060662, 0.003892593055452309
gauss_mix_asym_prior, mu[1], 0.29243055077841484, 0.0019286683577939279
gauss_mix_asym_prior, mu[2], 0.0997626445765123, 0.00048272733013865476
gauss_mix_asym_prior, sigma[1], 0.4558948323901688, 0.007277654078697626
gauss_mix_asym_prior, sigma[2], 0.07098957937635386, 0.0010999050501599994
normal_mixture, theta, 0.04694614694146493, 0.1071308816503429
normal_mixture, mu[1], 2.9110381228019877, 4.673574998285518
normal_mixture, mu[2], 3.0176345606257424, 4.423150292084034
timeseries, alpha, 1.1735615756329258, 0.0012113426479134493
timeseries, beta, 0.43388205227436305, 0.00012751852997949786
timeseries, lambda, 0.1537811250584894, 0.0004054419849793822
unemployment_5, beta[1], 0.2693067572702357, 0.004118950542330468
unemployment_5, beta[2], 0.09568911043340644, 0.0013731473754110546
unemployment_5, sigma, 0.21079201304406037, 0.061579374480204896
zeroone, w1, 1.4141587901458927, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
zeroone, w1, 0.0025296721124151295, 0.09658230324479289
